Date,Close
1/2/2019,219.5
1/3/2019,215.5
1/4/2019,208
1/7/2019,213
1/8/2019,211
1/9/2019,215.5
1/10/2019,216
1/11/2019,220.5
1/14/2019,218.5
1/15/2019,221
1/16/2019,217.5
1/17/2019,220.5
1/18/2019,218.5
1/21/2019,221
1/22/2019,223
1/23/2019,220.5
1/24/2019,222.5
1/25/2019,226
1/28/2019,229
1/29/2019,222.5
1/30/2019,221
2/11/2019,228
2/12/2019,230
2/13/2019,229
2/14/2019,227
2/15/2019,227
2/18/2019,230
2/19/2019,229
2/20/2019,234.5
2/21/2019,236.5
2/22/2019,236.5
2/25/2019,238
2/26/2019,239.5
2/27/2019,239
3/4/2019,235.5
3/5/2019,233
3/6/2019,234
3/7/2019,234
3/8/2019,230
3/11/2019,230.5
3/12/2019,235.5
3/13/2019,237
3/14/2019,234.5
3/15/2019,239
3/18/2019,241
3/19/2019,240.5
3/20/2019,242
3/21/2019,245.5
3/22/2019,248.5
3/25/2019,241.5
3/26/2019,244
3/27/2019,241.5
3/28/2019,242
3/29/2019,245.5
4/1/2019,245.5
4/2/2019,246
4/3/2019,246.5
4/8/2019,253
4/9/2019,254
4/10/2019,254
4/11/2019,252
4/12/2019,252
4/15/2019,255.5
4/16/2019,257
4/17/2019,261.5
4/18/2019,264.5
4/19/2019,264.5
4/22/2019,266
4/23/2019,268
4/24/2019,269
4/25/2019,267.5
4/26/2019,260
4/29/2019,259.5
4/30/2019,259
5/2/2019,259
5/3/2019,265
5/6/2019,259
5/7/2019,262.5
5/8/2019,260
5/9/2019,256.5
5/10/2019,256
5/13/2019,250.5
5/14/2019,248.5
5/15/2019,249
5/16/2019,247
5/17/2019,241.5
5/20/2019,238
5/21/2019,234
5/22/2019,238
5/23/2019,230
5/24/2019,233
5/27/2019,231
5/28/2019,230.5
5/29/2019,229.5
5/30/2019,231
5/31/2019,235.5
6/3/2019,238
6/4/2019,233
6/5/2019,235
6/6/2019,232
6/10/2019,240
6/11/2019,244.5
6/12/2019,246
6/13/2019,240
6/14/2019,236
6/17/2019,233
6/18/2019,235.5
6/19/2019,244
6/20/2019,245
6/21/2019,248.5
6/24/2019,241
6/25/2019,238.5
6/26/2019,234.5
6/27/2019,240.5
6/28/2019,239
7/1/2019,248.5
7/2/2019,249
7/3/2019,242.5
7/4/2019,244
7/5/2019,243
7/8/2019,242.5
7/9/2019,242
7/10/2019,247
7/11/2019,250
7/12/2019,250.5
7/15/2019,254.5
7/16/2019,256
7/17/2019,252
7/18/2019,254
7/19/2019,259
7/22/2019,264
7/23/2019,264
7/24/2019,265
7/25/2019,265
7/26/2019,261
7/29/2019,261
7/30/2019,260
7/31/2019,259.5
8/1/2019,256.5
8/2/2019,251.5
8/5/2019,246.5
8/6/2019,248.5
8/7/2019,248
8/8/2019,253.5
8/12/2019,251
8/13/2019,246.5
8/14/2019,249.5
8/15/2019,248
8/16/2019,250
8/19/2019,252
8/20/2019,254.5
8/21/2019,254.5
8/22/2019,254
8/23/2019,254
8/26/2019,248.5
8/27/2019,250
8/28/2019,252
8/29/2019,254
8/30/2019,259
9/2/2019,257.5
9/3/2019,254
9/4/2019,257.5
9/5/2019,263
9/6/2019,263.5
9/9/2019,265
9/10/2019,261.5
9/11/2019,263
9/12/2019,262.5
9/16/2019,265.5
9/17/2019,265
9/18/2019,267
9/19/2019,265
9/20/2019,264
9/23/2019,264
9/24/2019,265
9/25/2019,266
9/26/2019,268
9/27/2019,272
10/1/2019,280
10/2/2019,279.5
10/3/2019,276.5
10/4/2019,276.5
10/7/2019,278
10/8/2019,286.5
10/9/2019,282
10/14/2019,290
10/15/2019,293.5
10/16/2019,296.5
10/17/2019,293.5
10/18/2019,293
10/21/2019,290
10/22/2019,294
10/23/2019,293
10/24/2019,293
10/25/2019,293.5
10/28/2019,294.5
10/29/2019,298.5
10/30/2019,299.5
10/31/2019,298.5
11/1/2019,299
11/4/2019,307
11/5/2019,310.5
11/6/2019,311
11/7/2019,309
11/8/2019,305.5
11/11/2019,301
11/12/2019,305
11/13/2019,304
11/14/2019,303.5
11/15/2019,307
11/18/2019,311
11/19/2019,315
11/20/2019,313.5
11/21/2019,311
11/22/2019,309
11/25/2019,307
11/26/2019,307
11/27/2019,311
11/28/2019,309.5
11/29/2019,305
12/2/2019,307.5
12/3/2019,307
12/4/2019,306
12/5/2019,312
12/6/2019,313
